,post,targetStereotype,targetMinority
4146,"how do you kill a retard ? hand him a knife and ask him "" who 's special ? ""","[""are stupid"", ""innocent violent acts on them self"", ""joke stereotypes physical movement of mentally ill/handicapped folks"", ""joke uses a slur, which the group is constantly subject to"", ""mentally disabled folks are easily manipulated"", ""mentally disabled folks have no value""]","[""folks with mental illness/disorder"", ""mentally disabled folks""]"
4148,how do you make a gay guy fuck a woman ? shit in her cunt .,"[""all gay men like scat play"", ""attracted to feces."", ""gay men enjoy sex because of feces"", ""gay men would have sex with a woman"", ""no attraction to women."", ""women are to be demeaned""]","[""gay men"", ""women, gay men""]"
4149,how do you make a jew prematurely ejaculate ? pay for dinner,"[""are cheap"", ""jewish folks are greedy"", ""jewish folks are obsessed with money"", ""jewish people are tight with money"", ""jews get overly excited when they save money"", ""steals"", ""stingy with money"", ""they have a lot of money"", ""they like when other people pay""]","[""jewish folks""]"
4150,how do you pickup a jewish girl ? broom and dustpan .,"[""group deserves to die"", ""group should be burned"", ""jewish girls should be killed and cremated"", ""jewish people were massacred"", ""jewish people were the main target of the holocaust"", ""jews got killed in ovens that cremated them"", ""jews were killed en masse by the nazis"", ""makes light of holocaust"", ""refers to holocaust genocide"", ""trivializes harm to victims"", ""women are crime victims"", ""women are disposable""]","[""jewish folks"", ""women""]"
4151,how do you prevent black people from stealing your stuff ? hide it at the bottom of the pool,"[""black folks steal things"", ""black people are immoral"", ""black people are theives"", ""black people can't swim"", ""can't swim"", ""steals"", ""they can't swim""]","[""black folks""]"
4152,how do you start a rave in the k <elong> you put a black person in an elevator .,"[""black people start raves"", ""black people will get people moving"", ""is uncivilized/primitive"", ""is unruly""]","[""black folks""]"
4153,how do you starve a black guy ? hide his food stamps under his work boots . i got this joke from : <url>,"[""all blacks are on foodstamps"", ""black people are lazy."", ""black people choose ot to work for a living."", ""blacks are lazy"", ""blacks are poor"", ""blacks don't work"", ""that many rely on government social services"", ""that they can't live without government services""]","[""black folks""]"
4154,how do you starve a black man . <repeat> put his food stamps under his work boots .,"[""black men don't work"", ""black people are all on welfare"", ""black people are lazy"", ""black people are on welfare"", ""black people collect food stamps"", ""black people don't work"", ""black people use food stamps"", ""has foodstamps"", ""poor people are lazy"", ""poor people don't work"", ""starves without food stamps""]","[""black folks"", ""poor folks""]"
4155,how does a redneck find a sheep in his field ? sexy .,"[""are rednecks"", ""commit bestiality"", ""rednecks find sheep sexy"", ""rednecks have sex with sheep""]","[""poor folks"", ""rednecks""]"
4156,how is kermit the frog similar to a child who has been molested ? they were both forced to be felt .,"[""pedophile victims are forced into sexual activity"", ""trivializes harm to victims""]","[""assault victims""]"
4157,how long in the microwave does it take for a black baby to explode ? dunno . i close my eyes when i masturbate .,"[""black folks are less than human."", ""black folks should be killed."", ""blacks are a joke"", ""blacks are unwanted"", ""trivializes harm to victims""]","[""black folks"", ""dead babies""]"
4158,how many feminists does it take to change a light bulb ? feminists ca n't change anything .,"[""aren't productive"", ""cant do anything"", ""women are not efficient"", ""women are not intelligent""]","[""feminists"", ""women""]"
4159,how many jews can you fit in a kia ? <number> in the front <number> in the back <number> in the ashtray,"[""group has been burned"", ""group was accousted in the holocaust"", ""holocaust"", ""insensitive to jewish folks that were killed"", ""makes light of the holocaust""]","[""jewish folks""]"
4160,how many potatoes does it take to kill an irishman ? none .,"[""irish people are poor"", ""irish people eat potatoes""]","[""irish folks""]"
4161,"how many times can you screw a blonde ? i do n't know , how much time you got ?","[""blondes are loose women"", ""blondes have a lot of sex"", ""women are stupid"", ""women are whores""]","[""blondes"", ""women""]"
4165,how to make sure you crush loves you. kidnap her and let stockholm syndroom do its work,"[""women are weak and can be cotrolled"", ""women can be kidnapped and owned""]","[""women""]"
4166,how to pick up chicks how do you pick up a black chick ? noose . how do you pick up a mexican chick ? border patrol . how do you pick up a muslim chick ? body bag . how do you pick up a jewish chick ? dustpan and brush . how do you pick up white chicks ? flunitrazepam .,"[""all muslims are terrorists"", ""blacks are lynched"", ""have no value"", ""how do pick up women by their race"", ""jews went to death camps"", ""mexicans are illegal immigrants"", ""white people are on drugs""]","[""black folks, latino/latina folks, whites"", ""jewish folks, muslim folks"", ""women""]"
4169,i 'll be fucked . <repeat> . <repeat> f this rape whistle does n't work .,"[""assault victims try to protect themselves.""]","[""assault victims""]"
4170,"i 'm a muslim man with a muslim wife . <repeat> . <repeat> he other day my wife called me a paedophile , so i said "" that 's a big word for a five year old ""","[""are pedophiles"", ""marry children"", ""muslims are pedophiles."", ""muslims are savage.""]","[""muslim folks""]"
4171,i 'm not racist there are black people in my family tree .,"[""black people should be hung"", ""blacks are monkeys."", ""blacks aren't part of a family."", ""reference to lynching"", ""trivializes hangings"", ""trivializes lynching""]","[""black folks""]"
4175,i ca nt wait for harriet tubman to be on the $ <number> bill i can finally use black people as currency again .,"[""blacks are meant to be slaves."", ""blacks are not equal to whites."", ""deserves to be slaves"", ""is worthless""]","[""black folks""]"
4179,i date women like i like my eggs in the morning . <repeat> whites only,"[""are less attractive"", ""are not a high social class"", ""non-white women are inferior"", ""non-white women are not worth dating"", ""only white women are attractive."", ""white women define beauty""]","[""black folks"", ""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""black folks, asian folks, latino/latina folks, native american/first nation folks, basically all non-white women""]"
4180,i dislike hateful bitches who are so full of themselves they think something good about someone but stay silent. Complements r a good thing.,"[""women act like they are superior"", ""women are conceited""]","[""women""]"
4182,"i do this and the looks i get out of disgust are regular but i happily carry on walking and laugh them off , they think showing me a few pictures of negro kids on a poster without a burger is going to make me want to give money to them ?","[""black people are poor"", ""black people are starving"", ""blacks are of lesser value than whites"", ""blacks should be called negative slurs"", ""refers to black people as negroes""]","[""black folks""]"
