headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
Pfizer warned that is COVID-19 vaccine causes malformation in fetuses,['there is a serious potential side effect of the pfizer covid-19 vaccine'],['feel concerned about this potential safety risk of the vaccine'],['learn more about the safety of the vaccine for pregnant women'],3.0,misinfo,misinfo,2021-01-08,Social media posts,covid
"French lab's research shows that COVID-19 is very resilient. 90C water can't kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.","['the virus is very resilient.', 'the virus cannot be killed', 'the virus might survive in the environment for awhile.', 'there is no treatment']","['feel scared', 'feel more worried about the virus']","['protect themselves from exposure to the virus', 'learn more']",3.5,misinfo,misinfo,2021-01-07,LINE,covid
"Hydroxychloroquine, ivermectin, azithromycin, vitamin D and zinc are effective against COVID-19","['people can relax again', 'treatment is available', 'there are simple treatments available to treat coronavirus.', 'these treatments that have been reported to be ineffective at preventing the coronavirus do actually work.']","['feel happy', 'feel relieved']","['buy vitamins', 'learn more']",2.5,misinfo,misinfo,2021-01-06,Social media posts,covid
"""Hi, I'm Sandra Romero, ID 37263954 I got the Sputnik V vaccine on Tuesday afternoon and on Thursday it produced skin reactions"".","['people are having reactions to the sputinik v vaccine.', 'the sputnik v vaccine might not be entirely safe.']",['feel a little concerned about the safety of this vaccine'],['avoid receiving the sputnik v vaccine and get a different one'],2.0,real,misinfo,2021-01-04,Twitter,covid
Tennessee registered rurse Khalilah Mitchell has Bell's Palsy from COVID-19,"[""bell's palsy can occur after getting the covid-19 vaccine"", 'the the covid-19 vaccine has surprising side effects.', 'the covid-19 vaccine is unsafe.']",['feel concerned about the covid-19 vaccine safety'],['know if this is a true occurrence'],3.0,misinfo,misinfo,2020-12-31,Social media,covid
"Araceli, first person vaccinated in Spain, dies 24 hours after receiving the vaccine","['people may not want to receive the untested coronavirus vaccine.', 'the coronavirus vaccine is deadly.', 'the coronavirus vaccine is not safe.']",['feel lied to'],['avoid sharing this article'],1.0,misinfo,misinfo,2020-12-29,Facebook Post,covid
The first package of vaccines against COVID-19 that has arrived in Spain has the logo of a microchip company,"['the coronavirus vaccines secretly contain microchips.', 'microchips that are so small that they could be injected actually exist.', 'the microchips are being used for nefarious purposed', ""there's a secret plot to implant everyone on the planet with microchips."", 'microchips are being implanted in people being vaccinated']",['feel worried'],"[""know if there's a hidden agenda behind the vaccine""]",2.5,misinfo,misinfo,2020-12-29,Facebook,covid
"The Covid pandemic is a plan to depopulate all of humanity on the planet, through a fictional virus, deadly, through bribed media, through bribed governments, with one basic goal  to achieve the goal of World War III, and that is the absolute control of every human being on the planet.","['everything about the coronavirus pandemic is a pre-planned strategy to control the planet.', 'there is a new world order using the pandemic to secretly control all people on the planet.']",['feel that this is a complete conspiracy theory'],['get psychiatric help for people who actually believe this'],1.0,misinfo,misinfo,2020-12-25,viral social media video,covid
A television report about violence breaking out at a US hospital after patients were vaccinated against the novel coronavirus.,"['the coronavirus vaccines might have caused people to become violent.', 'the new vaccines have psychiatric side effects.']",['feel confused about what this means'],['learn if this is actually true'],3.0,misinfo,misinfo,2020-12-24,Facebook,covid
COVID-19 and AIDS are biological weapons created in the same military biological labs and both viruses were made intentionally to destroy the population and the army of an adversary. The Pentagon was collecting biological samples from Russians as well as different ethnic groups and people of the former Soviet Union living in different geographical locations of the Russian Federation.,"['governments are engaged in secrete biological weapons programs.', 'what we think are naturally occurring viruses are actually biological weapons']",['feel like this is ridiculous and is clearly a conspiracy theory'],['ignore such nonesense'],1.0,misinfo,misinfo,2020-12-24,Media Outlet,covid
A U.S. CDC document revelas that the virus behind COVID-19 was not isolated. There is no COVID-19.,"['coronavirus is a hoax.', 'the government lied to the people', 'there is no such thing as the coronavirus.', 'what is sickening people is something other than a virus.', 'covid-19 is not real']","['feel happy', 'feel angry']","['go out and celebrate', 'protest the government']",2.5,misinfo,misinfo,2020-12-24,FB page Lynn Channel,covid
"Governor of So Paulo, Joo Doria, invited all former presidents to take the vaccine against COVID-19. All of them refused","['the coronavirus vaccine is not actually safe.', 'the dangerous of the vaccine are being kept secret but political elites know the truth.']",['feel puzzled why so many leaders would turn down the vaccine'],['know if this is actually true'],2.0,misinfo,misinfo,2020-12-22,"Patriotas, Twitter",covid
LG stopped manufacturing air conditioners to produce oxygen for Manaus,"['manufacturers can help medical field needs', 'businesses step up to help medical field']",['feel lied to'],['fact-check this article'],2.0,misinfo,misinfo,2021-01-15,Social media posts,covid
"An Austrian politician ""exposed the defectiveness of the government's Covid-19 tests by demonstrating how even a glass of Coca Cola will test positive for Covid-19.""","['covid infection rates my be artificially inflated by a poorly performing test', 'people will listen to conspiracy stuff', 'a political figure is lying to the public', 'the covid test used by the government is worthless', 'someone in charge is not listening to science']","['feel interested', 'feel surprised']","['read article', 'find a better test to use']",2.5,misinfo,misinfo,2020-12-19,Instagram,covid
"The nurse fainted after the Pfizer vaccine, something that is a proof that the vaccine isn't safe","['vaccine safety is questionable', ""vaccines aren't safe""]",['feel upset and worried'],['find out more'],2.0,misinfo,misinfo,2020-12-18,Facebook,covid
CoronaVac's effectiveness rate dropped from 78% to 50.38% and 49.69%,"['vaccine coverage has went down', ""the coronvac vaccine isn't as effective as advertised""]",['feel disappointed'],['hope that a different vaccine is available'],2.5,misinfo,misinfo,2021-01-14,Social media posts,covid
Hospitals in Asahikawa have each accepted 40 Chinese COVID-19 patients.,"['infections rates are rising', 'things are about to get worse in the district', 'its spreading even more']",['feel scared'],['avoid the virus'],2.5,real,misinfo,2020-12-18,Twitter,covid
WHO President Tedros Adhanom Ghebreyesus is an armed group leader,['some areas of government accuse others of things'],['feel uncaring'],['turn the page'],2.0,misinfo,misinfo,2020-12-17,Twitter,covid
Bill Gates says vaccines are poison,"['rich figures say vaccines are bad', 'high power people want public not to get vaccine']",['feel disinterested'],['avoid sharing this article'],2.0,misinfo,misinfo,2020-12-17,WhatsApp,covid
This doctor in Argentina was not vaccinated twice,"[""vaccine statistics aren't ethical""]",['feel lied to'],['fact-check this article'],2.0,misinfo,misinfo,2021-01-11,,covid
"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.","['elderly are affected worse', 'younger people are safer']",['feel this is false'],['avoid sharing this article'],2.0,misinfo,misinfo,2020-12-16,Twitter,covid
"A table comparing the number of deaths by several other causes, including Aids, traffic accidents, cancer and ""abortion"", and COVID-19 in 2020",['the disease can be compared to many other things'],['feel quite interested'],['read more of this'],3.0,disagreement,misinfo,2021-01-11,Facebook,covid
We do not need a vaccine. We need a body that can resist this and any other virus,"['methods to make people immune to viruses are being hid from the public', ""it's possible to create bodies immune to disease"", 'methods exists to prevent people from getting any viruses', 'we are lied to about vaccines', 'vaccinations are not needed', 'its easy to lead people astray']","['feel incredulous', 'feel happy to hear this']","['protest against vaccines', 'figure out  what the author means by this']",2.0,misinfo,misinfo,2021-01-09,Facebook,covid
A firefighter in Bavaria died because of the Biontech vaccine.,"['vaccine causes death', 'vaccines are unsafe', 'preventative medicine can be fatal', 'vaccine is dangerous']","['feel angry', 'feel scared']","['tell others', 'not get the vaccine']",2.5,misinfo,misinfo,2021-01-09,Voice message,covid
14-week-old male fetus DNA added to AstraZeneca vaccine,"['vaccines are unsafe', 'secrets are kept about vaccines']",['feel angry'],['fight'],1.0,misinfo,misinfo,2020-12-15,Facebook,covid
Kamala Harris vaccination against COVID-19 was staged,"['officials keep the truth from us', 'officials do not take the vaccines', 'government officials just pretend so others will do it']",['feel upset'],['argue it was not'],1.0,misinfo,misinfo,2021-01-05,Social media posts,covid
Charts by the German ministry of finances show that they plan to have a lockdown until June 2021,"['countries vary policies', 'staying home stops spread', 'the pandemic is not over']","['feel informed', 'feel concerned', 'feel worried']","['prepare', 'hope they are not locked down so long', 'learn more']",3.5,real,misinfo,2021-01-05,Facebook,covid
