post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
Wakanda is like a black person's freedom. It really never was real in the first place.,"[""black folks""]",black people should still be slaves,human,sbic,blacks are slaves,human,black,flan-t5-large,Black people are seen as having an unattainable and imaginary concept of freedom,chatgpt,"[""black people are not free"", ""black people should still be slaves"", ""blacks are slaves"", ""blacks have no rights"", ""don't have freedom""]"
Sometimes I feel like people (including feminists) treat women like big children or godesses,"[""women""]",Some feminists treat women like big children or godesses,text-curie-001,sbic,The stereotype communicated is that women are seen as either helpless and in need of protection or as perfect and untouchable,text-davinci-003,women,flan-ul2,people,flan-t5-xxl,"[""women are above everyone else"", ""women are treated too highly""]"
What do you call a white guy surrounded by a thousand black guys? A warden,"[""black folks""]",A warden is someone who oversees a prison or jail,text-babbage-001,sbic,"Black men are often associated with criminal behavior and violence, while white men are seen as authority figures who control and monitor them",chatgpt,The sentence might communicate that a white guy is surrounded by a thousand black guys,text-ada-001,The stereotype communicated by this sentence is that white guys are often in positions of authority over black guys,text-davinci-001,"[""black men are criminals"", ""black people are criminals"", ""black people are more likely to be in jail"", ""black people should be jailed"", ""blacks are criminals"", ""blacks are violent""]"
cripples what do you call three people in wheelchairs stacked on top of each other ? a vegetable rack .,"[""physically disabled folks"", ""physically disabled folks, folks with mental illness/disorder""]",does not move,human,sbic,The stereotype communicated by this sentence is that people in wheelchairs are weak and unable to do anything on their own,text-curie-001,group is incapable of independence/movement,human,physically disabled people are vegetables,human,"[""are objects"", ""does not move"", ""group is incapable of independence/movement"", ""group is incapable of normal mental functions"", ""people in wheelchairs arent as good as able bodied people"", ""physically disabled people are vegetables""]"
More racist violence by blacks - this time the victim was a Chinese man : YouTube - Racist Blacks beat a Chinese man to death,"[""black folks""]",racist,flan-ul2,sbic,blacks beat up people,human,The stereotype that this sentence communicates is that blacks are violent,text-davinci-002,African Americans are violent and dangerous,text-davinci-003,"[""black folks are racist"", ""black folks are violent"", ""blacks are racist"", ""blacks beat up people""]"
RT @Smith_Wessern: Some hoes live jus to hit the clubs every weekend .. &#128564;&#128080;,"[""women""]",This sentence communicates the stereotype that women who go to clubs are promiscuous,text-davinci-002,sbic,a group of people,flan-t5-small,hoes,flan-t5-base,are hoes,baseline,"[""disrespecting women is okay"", ""women are desperate."", ""women are frivolous"", ""women are whores"", ""women go out and get drunk"", ""women have no morals.""]"
Africa is really boring during Halloween Everyone's a skeleton,"[""Africa"", ""black folks""]",Africans are poor,flan-t5-xxl,sbic,are all skinny,human,african folks look like skeletons,human,african folks are starving,human,"[""african folks are starving"", ""african folks look like skeletons"", ""are all skinny"", ""are malnourished""]"
"I think its wrong to refer to a negro as ""boy"" That implies they are people.","[""black folks""]",are not human,human,sbic,The stereotype communicated by this sentence is that negroes are people who are not considered to be in the same category as boys,text-curie-001,blacks are monkeys,human,inferior,human,"[""are not equal"", ""are not human"", ""blacks are monkeys"", ""blacks aren't people"", ""compared to animals"", ""inferior""]"
@BigD757 too bad hes a faggot,"[""gay men""]",LGBTQ+ people are often viewed as inferior or lesser than others,text-davinci-003,sbic,faggot is a derogatory term for gay people.,human,a racist,flan-t5-xl,a faggot,flan-t5-large,"[""faggot is a derogatory term for gay people."", ""gay men are called faggots"", ""gay men are lesser than"", ""gay men should be called faggots"", ""gay people deserve to die"", ""gays are gross""]"
"Any time a man tells you to make him a sandwich, imagine it as ""MAKE ME SANDWICH.  ME AM MAN. ME BEAT CHEST.""","[""men""]",a man who tells you to make him a sandwich,flan-t5-small,sbic,This sentence communicates that men are dominant and that women are expected to serve them,text-davinci-001,a group of people,flan-t5-xl,"The stereotype that this sentence communicates is that men are strong, able, and will never let go of what they have",text-ada-001,"[""are caveman like"", ""are sexist"", ""men are animals"", ""men are stupid""]"
When two fat American's have sex it's... MISSIONARY IMPOSSIBLE.,"[""Americans"", ""overweight/fat folks""]",The stereotype that this sentence communicates is that American's are fat and that they can only have sex in the missionary position,text-davinci-002,sbic,sex is a common stereotype.,flan-t5-small,fat,flan-t5-base,are fat,baseline,"[""americans are fat"", ""americans are obese"", ""fat people are gross looking."", ""fat people shouldn't be sexual."", ""they are disgusting"", ""they are so big they cant have sex""]"
The nine-year-olds at my younger cousin's birthday party think they can beat me in laser tag because they have experience in Fortnite Little did they know I have experience in American highschools.,"[""mass shooting victims""]",[GROUP] are young,flan-ul2,sbic,trivializes harm to victims,human,The sentence communicates the stereotype that gamers are not good at real-world activities,text-davinci-002,Teenagers are often seen as more experienced in video games than younger children,text-davinci-003,"[""advocates school shootings"", ""are marginalized for a joke"", ""makes light of school shootings"", ""trivializes harm to victims""]"
Put that fat Black idiot to work and she would n't be smirking at Whitey and playing stupid for the camera at her welfare review hearing !,"[""black folks""]",black folks are stupid,human,sbic,black people are fat,human,fat,flan-t5-large,Black people are lazy and dependent on welfare,chatgpt,"[""black folks are lazy"", ""black folks are stupid"", ""black people are fat"", ""black people are lazy"", ""black people are on welfare""]"
RT @MookTheKing: Any Nigga Or Dike Play Pussy Goin Get Fucked &amp; That's On Luv,"[""black folks"", ""lesbian women""]",they're less than,human,sbic,nigga,flan-ul2,they are dykes,human,This sentence communicates the stereotype that black men are sexual predators,text-davinci-002,"[""\""dikes\"" are going to get beaten up if they play around"", ""\""dikes\"" playing around possibly picking up already taken partners"", ""black folks are going to get beaten up"", ""black folks are hypersexual"", ""black folks are incompetent"", ""black folks play around"", ""lesbian women are lustful"", ""lesbian women don't really know what they want"", ""they are dykes"", ""they aren't smart"", ""they're less than"", ""they're not smart""]"
"Sorry , that must be my Black coming out.","[""black folks""]",Black,flan-ul2,sbic,black people are not individuals,human,The stereotype that this sentence communicates is that Black people are aggressive,text-davinci-002,African Americans are often stereotyped as being loud and outspoken,text-davinci-003,"[""black folks are incompetent"", ""black folks aren't smart"", ""black people act a certain way"", ""black people are not individuals""]"
"To all the black kids without fathers, don't be so upset. In a few years, you'll get to meet them when you go to prison.","[""black folks""]",most black fathers have been in jail,human,sbic,Black kids are more likely to end up in prison and have absent fathers,chatgpt,black,flan-ul2,African Americans are disproportionately represented in the criminal justice system,text-davinci-003,"[""black children don't have fathers."", ""black folks don't grow up with fathers"", ""black folks end up in prison"", ""black men don't parent their children."", ""black men go to jail."", ""most black children will become criminals"", ""most black fathers have been in jail""]"
