Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
Early treatment with ivermectin is effective in reducing COVID-19 deaths,'ivermectin reduces COVID-19 deaths in 75%',ivermectin can help reduce covid-19 symptoms,text-davinci-003,baseline,human,mrf,"University of Liverpool researches proved that ivermectin reduce COVID-19 deaths in 75%, if administered early",misinfo,['ivermectin can help reduce covid-19 symptoms'],,
Older adults are at higher risk of severe illness from COVID-19,'covid-19 survival rates are 99.997% for people ages 0 to 19,elderly are affected worse,text-davinci-003,baseline,human,mrf,"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",misinfo,"['elderly are affected worse', 'younger people are safer']",,
global warming is a major crisis.,Climate change is a major global issue,,human,chatgpt,,mrf,Joe Biden's proposed EPA Chief Michael Regan claims 'climate change is the most significant challenge humanity faces',misinfo,"['global warming is a major crisis.', 'humanity faces other, less important challenges', 'the politician sees global warming as a threat.']",,
Vaccines can be risky,vaccines can kill you,'the vaccine is not safe',text-davinci-003,human,baseline,mrf,"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state",misinfo,"['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']",,
'the u.s. is not going to be a good candidate for the u.s.',The Biden team is taking climate and energy seriously,biden to announce nominees,baseline,text-davinci-003,human,mrf,Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,real,"['biden to announce nominees', 'a governments direction in climate control will be known soon']",,
leadership must enact progressive climate change policies now,'john krystal will squander what time we have left to prevent climate catastrophe',Time is of the essence,human,baseline,text-davinci-003,mrf,Will John Kerry squander what time we have left to prevent climate catastrophe?,misinfo,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",,
Taking action on climate change is important,'the bezos administration is announcing the first winners of the $10 billion climate-change pledge',a few environmental groups received large grants to help with climate change goals,text-davinci-003,baseline,human,mrf,Bezos announces first winners of $10 billion climate-change pledge,real,"['a few environmental groups received large grants to help with climate change goals', 'bezos is keeping his word and giving out grants to help with climate change']",,
people should avoid taking the vaccine,Misleading and false information,,human,chatgpt,,mrf,Obama told Africans to refuse COVID-19 vaccines,misinfo,"['people should avoid taking the vaccine', 'the vaccine is not safe']",,
Take urgent action on climate change,unknown intent,,text-davinci-003,human,,mrf,"Pick up the pace on combating climate change, Bank of Canada governor says",real,['unknown intent'],,
New dam will protect Venice from flooding,rising water levels threaten the city because it's at sea level and has a bunch of canals,,chatgpt,human,,mrf,New artificial dam aims to save Venice from climate change-induced flooding,real,"[""rising water levels threaten the city because it's at sea level and has a bunch of canals""]",,
"The implied message is: ""Freedom of Expression is Not Free",'rebellious soul' jailed for filming 'wuhan',the government is trying to hide something,text-davinci-003,baseline,human,mrf,Zhang Zhan: The 'rebellious soul' jailed for filming Wuhan,real,"['the government is trying to hide something', 'governments are trying to prevent information from getting out regarding covid']","Journalist imprisoned for documenting Wuhan
172	['labour groups care about climate change']	Labour wants to prioritize climate change over corporate takeovers
173	['the covid relief effort is actually part of a government project to exterminate people', 'people should not attend government covid centers']	Covid centers are killing patients
174	['the agency has the power to address these issues', 'these issues are important and require addressing']	Federal Reserve should address societal issues",chatgpt
Get vaccinated!,covid-19 is not real,,text-davinci-003,human,,mrf,Actors are hired to act in the footages covering COVID-19 vaccination.,misinfo,['covid-19 is not real'],,
"The implied message is ""question authority",disease does not exist,'the coronavirus is one big lie',text-davinci-003,human,baseline,mrf,The coronavirus is one big lie. Doctors and nurses in France took off their uniforms in protest.,misinfo,"['disease does not exist', 'government officials are mendacious.', 'covid is a lie', 'the accepted narrative is deceptive.']",,
illinois is distributing vaccines,Stay informed and stay safe,'i'm not a virologist',human,text-davinci-003,baseline,mrf,"Coronavirus in Illinois updates: 7,374 new COVID-19 cases and 178 additional deaths announced as state reports more than 126,000 vaccinations administered",real,"['illinois is distributing vaccines', 'the state of illinois is struggling to keep covid cases down', ""illinois isn't doing enough to combat covid despite vaccines""]",,
'vaccines are not safe',the vaccine implants microchips in the brain,Some vaccines are more effective than others,baseline,human,text-davinci-003,mrf,"Through the test for Covid-19, partial vaccination of the population was performed through nano particles in the human brain.",misinfo,"['the vaccine implants microchips in the brain', 'vaccine is being used to monitor people', 'nanotechnology exists and is being hid from the public', 'nano particles were used to vaccinate people without their knowledge']",,
Climate security is a priority,the government is implementing climate change policies,,chatgpt,human,,mrf,The Covid relief bill lays the groundwork for a 'Climate Security Advisory Council',misinfo,['the government is implementing climate change policies'],,
The Fed acknowledges climate change,more places are getting on board,,chatgpt,human,,mrf,The Fed Joins the Climate Club,real,['more places are getting on board'],,
greta is harmful to society,'the climate crisis is a 'greenwash',"The implied message is ""actions speak louder than words",human,baseline,text-davinci-003,mrf,Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,real,"['greta is harmful to society', 'greta is brainwashed', ""the government isn't doing enough about climate change""]",,
